year,tas,rlut,rsut,rsdt
1850,286.9175903201323,238.893342384205,101.30998332783143,340.25231386053224
1851,286.7596592806542,239.02708238851528,101.13809839441514,340.2428112838316
1852,286.7341951958524,238.9941631998041,101.00905534869707,340.27591279317534
1853,286.6342825028351,239.01352433852296,100.51984174405061,340.2196765809169
1854,286.73662887789504,238.66972112956418,100.8455734890569,340.19265969096756
1855,286.75858465138316,239.07551630463527,101.04509447097468,340.17854700106744
1856,286.71741293469887,238.63470142070773,100.7938388587687,340.2049444985394
1857,286.91383667820753,239.00430868675843,100.79502229776368,340.1888193055777
1858,286.73466744332273,239.0352215718549,100.76768435857646,340.2171137840015
1859,286.7493378065203,238.73654037832645,100.81819819476073,340.24510227187915
1860,286.769001581035,238.63235940093645,101.17459992690515,340.30189576634206
1861,286.6888947000487,238.84203529374292,101.64305171637386,340.2626622640209
1862,286.51774930468696,238.45160681521102,101.62793186053894,340.2398268299076
1863,286.4472691097676,238.52909430453062,100.75665482739437,340.22767499795003
1864,286.56562753234476,238.3525765443583,101.22951395869667,340.24144690844787
1865,286.6436731960694,238.6842044752192,100.94960644727995,340.2003485152609
1866,286.57912349098524,238.55870111735476,101.0058724974645,340.1914405774218
1867,286.6651030928615,238.49281845832198,101.32072503956118,340.183098257058
1868,286.6721334582788,238.64180755307623,101.17804727838659,340.2402002055499
1869,286.63956266695936,238.7990918551237,100.37791367544209,340.2394239044785
1870,286.7835443025116,238.8928610994619,100.7170224704368,340.24137011211263
1871,286.7380096246122,238.96393974219083,101.20013079991509,340.2650340613989
1872,286.7633489506556,239.0181994653412,100.76581421100106,340.2824226712211
1873,286.74523127967547,238.6454917888208,101.4815304825684,340.2357995633963
1874,286.7467117009223,238.6955054890178,101.17653060057928,340.2177720676589
1875,286.79629734124075,238.79852835917345,101.50041205891121,340.18476779739507
1876,286.6436163081545,238.5940188713831,101.3941034640989,340.2073889553935
1877,286.62056472993123,238.69691781154873,100.85237319884243,340.1610386226345
1878,286.65324850763596,238.80048233816152,100.9476512808564,340.15018208851154
1879,286.59324246503934,238.51974956569268,101.18475830283569,340.15618370794067
1880,286.52991503525357,238.45024712473142,101.3771066932465,340.21403148137557
1881,286.70302168374025,238.50990814126726,101.55322630565091,340.2226444667873
1882,286.66107195535415,238.5465297917491,101.40633521626938,340.20943581591706
1883,286.4655846126809,237.92900094923948,102.31564713085241,340.20506725680485
1884,286.14719669157233,237.04293041409747,103.97870564310028,340.28668997341657
1885,286.3493235543747,237.67710894716734,102.17861056041276,340.22242663030204
1886,286.4742268310854,238.19955816463425,101.29401188956776,340.19231545844985
1887,286.5259030405166,238.35760817932317,101.37622885805222,340.1739216566505
