year,tas,rlut,rsut,rsdt
1850,286.52058578469354,238.85123410887465,100.86551319202437,340.2233080011988
1851,286.7063313672679,238.7172972477132,100.84488614551918,340.2233080011988
1852,286.8491691431905,239.0751869028587,101.40417842858288,340.2392703179717
1853,286.658539318544,239.09464064385006,100.96555033897783,340.2233080011988
1854,286.38822446955857,238.67785637066308,100.69303700725101,340.2233080011988
1855,286.4727509530047,238.77637387329435,100.52893888847971,340.2233080011988
1856,286.54267505151205,238.65869157908858,100.57008498817224,340.2392703179717
1857,286.6429787644994,238.80996904231858,100.87060036023571,340.2233080011988
1858,286.7039705230634,238.99567355538701,100.66377309178678,340.2233080011988
1859,286.78478854092214,238.9722866888172,100.75159702067737,340.2233080011988
1860,286.77529568986046,238.9492509476614,100.92518569478443,340.2392703179717
1861,286.7844018774887,238.7218049075792,100.93340662781596,340.2233080011988
1862,286.6633420936511,239.01076784095463,100.9472859240159,340.2233080011988
1863,286.74604208516325,238.75199600991513,101.13069033542814,340.2233080011988
1864,286.6797460559231,238.72403206362762,101.65340303720798,340.2392703179717
1865,286.6400728343229,239.07503259895225,100.7649030939486,340.2233080011988
1866,286.6829389661814,238.77050230368832,100.78872549059241,340.2233080011988
1867,286.6008310033275,238.91434623521238,100.93792818759509,340.2233080011988
1868,286.48029174575055,238.63301445443548,100.80855798699133,340.2392703179717
1869,286.64651262971245,238.89014876466737,100.68597542590233,340.2233080011988
1870,286.7895961089576,238.82067010375485,100.94828143177324,340.2233080011988
1871,286.80117509095186,238.98821582793767,101.1134779061807,340.2233080011988
1872,286.91575174417545,238.98996378147322,101.27027225975716,340.2392703179717
1873,286.83705400962725,239.11977978524672,101.68396343522902,340.2233080011988
1874,286.49228817235036,238.88605589700225,101.1285372135521,340.2233080011988
1875,286.35306272729144,238.4937986367515,100.1999832996219,340.2233080011988
1876,286.61067036853626,238.7998628888278,100.38825029528067,340.2392703179717
1877,286.5681922737043,238.80574807117853,100.63194566133768,340.2233080011988
1878,286.59647397022064,238.77046418217458,101.04446371131341,340.2233080011988
1879,286.70255456875753,238.69813944531543,101.08756486770618,340.2233080011988
1880,286.69128745585755,238.66533372724544,100.99190358253715,340.2392703179717
1881,286.73816373433533,238.81627553640772,100.89021565410572,340.2233080011988
1882,286.814360613505,239.04312515336025,101.13867195789811,340.2233080011988
1883,286.7351878217709,238.66545472626353,101.35410336506591,340.2233080011988
1884,286.7242527678323,239.0991287821782,101.00709973746264,340.2392703179717
1885,286.61003189715655,238.83946530519597,100.92865114408465,340.2233080011988
1886,286.5651956895573,238.93823127050584,100.77526089821446,340.2233080011988
1887,286.58611199836383,238.72133762354102,100.9886239616334,340.2233080011988
1888,286.61359881033815,238.61774052482392,100.75261906236231,340.2392703179717
1889,286.73225336716575,238.79503595130834,100.95563227037648,340.2233080011988
1890,286.66156415580656,238.7557671557047,100.98149049366639,340.2233080011988
1891,286.7482196160181,238.60662756301213,101.06472836852362,340.2233080011988
1892,286.92106796867057,239.22473577021302,101.0362667527167,340.2392703179717
1893,286.68281914547794,238.9391133514173,100.9138692743682,340.2233080011988
1894,286.5838704951844,238.70868363539498,100.88164716776203,340.2233080011988
1895,286.72151359422753,238.75410305853026,100.88008848101572,340.2233080011988
1896,286.92651002683544,239.22250929604778,100.75624184351135,340.2392703179717
1897,286.9159079443371,238.99410174010032,101.233578522395,340.2233080011988
1898,286.77547716829326,239.15940858820474,101.27854521086066,340.2233080011988
1899,286.39430758311795,238.61886623541045,100.85335925240865,340.2233080011988
1900,286.44793433726613,238.91714998231328,100.4383829864164,340.2233080011988
1901,286.4738336733332,238.86413941047013,100.79019830190732,340.2233080011988
1902,286.57865178332065,238.99122036884333,100.63704146617216,340.2233080011988
1903,286.58340429477073,238.81128131370951,101.09882000584311,340.2233080011988
1904,286.6550742514377,238.58571942692402,101.1820230526598,340.2392703179717
1905,286.73826739060826,238.7436479670461,100.9097105913276,340.2233080011988
1906,286.81593833912365,238.96976201083567,101.24987957364289,340.2233080011988
1907,286.7328664583792,238.64523901312887,101.22033041850757,340.2233080011988
1908,286.75500410875225,238.8483856734164,101.00014678743948,340.2392703179717
1909,286.68236120412956,238.82053548152598,101.16667280573826,340.2233080011988
1910,286.628403821906,238.85075179848513,100.86570434248425,340.2233080011988
1911,286.6346223458568,238.9113470118405,100.5778658868807,340.2233080011988
1912,286.65325040101914,238.90126225767548,100.54338526874221,340.2392703179717
1913,286.7166087846105,238.76360206876222,100.84354884795285,340.2233080011988
1914,286.5860322271309,238.72186067886494,101.17218868422516,340.2233080011988
1915,286.60692553120424,238.77424914112066,100.76911133550425,340.2233080011988
1916,286.7447118080992,238.73286135239118,100.88352930099568,340.2392703179717
1917,286.9085603826237,239.11219413613466,101.37361320965266,340.2233080011988
1918,286.7440181033341,239.09455656177144,100.89725131454826,340.2233080011988
1919,286.5526363394501,238.82038159197973,101.01760466299106,340.2233080011988
1920,286.6236790655683,238.92456427865625,100.76842522649179,340.2392703179717
1921,286.6325423539137,238.90282824777958,100.90994229890748,340.2233080011988
1922,286.7566533076822,238.92861628994504,100.67977511560031,340.2233080011988
1923,286.8766834474341,239.14675600300268,100.97562974595034,340.2233080011988
1924,286.86939757408084,239.0086954848015,101.02865573094626,340.2392703179717
1925,286.7868327456052,238.81421403381162,100.86493235631399,340.2233080011988
1926,286.8842677973667,239.1610625399401,100.83046333113991,340.2233080011988
1927,286.7338338378168,239.13119534919682,101.25370071435827,340.2233080011988
1928,286.6297718606974,238.87855652531803,100.68479786552257,340.2392703179717
1929,286.6325298528433,238.77335172378488,100.97386080511016,340.2233080011988
1930,286.61617450954503,238.90022423949424,101.03419985014541,340.2233080011988
1931,286.63543732497186,238.78773695823688,101.06696951904225,340.2233080011988
1932,286.7155603414169,238.89375984973398,100.96863262445986,340.2392703179717
1933,286.8092336097132,238.87788472334776,101.07427965681381,340.2233080011988
1934,286.64907997046663,238.9725702533838,101.28934613663642,340.2233080011988
1935,286.50009999919934,238.5623605906488,101.02188538486998,340.2233080011988
1936,286.42892559873144,238.37419908307808,101.2872542339938,340.2392703179717
1937,286.51976565498444,238.5694169421074,100.81663059424102,340.2233080011988
