year,tas,rlut,rsut,rsdt
2015,287.7530531157277,238.05505088238434,100.97889334412326,340.29969584646136
2016,287.79291928646603,237.81323878571183,100.7186775595214,340.25658474454093
2017,288.01966977834513,237.81685225935482,101.33690006318064,340.2076017628631
2018,287.9413237478779,237.86168807283502,100.99943804701961,340.1966805473166
2019,287.82671616055535,237.9499168415348,101.15614568165006,340.19386452564373
2020,287.9370847905021,237.75775465791625,101.18850859879136,340.2382636157195
2021,287.9413757036389,237.69843998257875,101.25526587782075,340.27380925050915
2022,287.8158157515574,237.6163349136849,101.45182551241015,340.35336931893795
2023,287.9399549627799,237.82262630901155,101.24167601490758,340.40301910954554
2024,287.92062254015246,237.68891981459572,101.30580939973335,340.4476987770652
2025,287.91930771866777,237.40707269124627,101.24324318752569,340.373815429233
2026,288.27594886713786,237.86747059631162,101.39161808882129,340.32440396629045
2027,288.1571157953119,237.76477238994028,101.61003554454715,340.2766301963336
2028,288.0497622375198,237.76137955129593,101.21390530102006,340.28903891614044
2029,287.92482378548283,237.7515301769422,100.94108957181423,340.22132432900474
2030,287.86457008947656,237.34056101634076,101.01170261031153,340.2018430464679
2031,288.07435374706637,237.60777342990727,100.94748618310253,340.1877574125809
2032,288.3713600128887,237.6352111816476,101.06057290266845,340.22009580419945
2033,288.4610956395167,237.84230619943537,101.7897572585281,340.2316713995886
2034,288.05933270450305,237.52318569950228,101.36118008077209,340.30979652563224
2035,288.08784547100043,237.53442365566346,100.79792563787443,340.3160880092556
2036,288.19308302734,237.34702178886945,101.21874483377756,340.3856447504907
2037,288.3272157313347,237.54821548236634,101.14539079157181,340.31426453233615
2038,288.466575305584,237.817670761812,101.08507376592115,340.3127648550267
2039,288.2225350200287,237.66064760687536,100.74149421289775,340.27256792553607
2040,288.1694659909231,237.25415961814113,100.70326674035535,340.2539175867214
2041,288.6775742317552,237.67003202426133,100.86421829178924,340.183505092796
2042,288.616623097157,237.58611043637265,101.02436217227512,340.1724954410092
2043,288.58562129186316,237.64275079370148,100.85801910903007,340.1743965212098
2044,288.3871445272603,237.42360382996003,100.70926219402752,340.233327811716
2045,288.54767400147335,237.41323195746824,100.73189908416708,340.269305216811
2046,288.68619792332004,237.40077512299982,100.95953669942759,340.31843673521684
2047,288.76403169076394,237.8421281660466,101.30106830252949,340.3771658184217
2048,288.53710149321313,237.5894415322759,100.87375317177448,340.41007607077296
2049,288.6222436517641,237.58103211720118,100.63373412351427,340.3331197075001
2050,288.84135905343186,237.48773044216148,100.71893298556817,340.26980547475193
2051,288.76389392976256,237.65125401379476,100.6785317926188,340.2361364778158
2052,288.70871443149736,237.5928619064326,100.65818099339249,340.2382252587285
2053,288.6952894734323,237.27532061508217,100.37601407136022,340.1812742019993
2054,288.8758576381961,237.16560749601877,101.1829126442098,340.1885602504586
2055,289.07023962344186,237.50962766108344,100.95514273155732,340.23214421241863
2056,288.8582241631197,237.3664554129275,100.64794062943515,340.30997698028176
2057,288.8650754292991,237.29848125693846,100.33067522135336,340.28290754105757
2058,289.0576045266264,237.15881617878048,100.6723752446925,340.2930937485583
2059,289.3533879023914,237.60162134661076,100.6194439261961,340.29805056425346
2060,289.2653279657214,237.48402492046128,101.09192941151701,340.2893182276947
2061,289.1298432988195,237.1705013494982,100.82757420667076,340.2185426927073
2062,289.26517702207406,237.40053635373215,100.50684570214457,340.19017882062434
2063,289.1993063039951,237.39101884904116,100.62163791635066,340.18388643248636
2064,289.1478616617487,237.29504563841093,100.46814864396406,340.20977538236133
2065,289.2352691419522,237.21458067193757,100.26701784973437,340.1890338822781
2066,289.3609690573549,237.7281568692267,100.0346393377284,340.2449693850183
2067,289.4484048592188,237.5620832577347,100.2858304962171,340.29196921000397
2068,289.58337429002887,237.31965231217808,100.57834143352096,340.35412821871705
2069,289.6224210219457,237.51035770981161,100.60658138249057,340.31046086158284
2070,289.56812343487724,237.40969279513794,100.31055678521251,340.28000610669415
2071,289.79611453010295,237.29110159323795,100.26512829440402,340.23988400933393
2072,289.92123877631605,237.24709713335832,101.04270830562145,340.24732106690254
2073,289.88519524094477,237.6364035471515,100.36854711493645,340.1991604572816
2074,289.8224516517991,237.58180790147446,100.17569902626764,340.1779437611138
2075,289.8082946821282,237.33474442598342,100.2350246274903,340.1673514474985
2076,289.87682814674855,237.31753383456274,100.29497463752942,340.19129252274746
2077,289.8858858049811,237.18431079385175,100.68697325903615,340.16860443304506
2078,289.8510933614212,237.24105512705322,100.45372112634715,340.2021358510143
2079,289.9950223029551,237.13994547042316,100.14455659130282,340.24444665490336
2080,290.1394269249077,237.56441106082477,100.53947082358575,340.2995085705581
2081,290.0563691201465,237.3674062793184,100.17912786432294,340.2714117936543
2082,290.21068987636875,237.34996050945657,99.80618397212851,340.2725387495869
2083,290.28343051190177,237.39259729187438,100.08611258630366,340.24426902730994
2084,290.35881111755924,237.46468026359142,100.1459952331963,340.26164607785967
2085,290.3733885880377,237.38101590777364,100.11426098729292,340.18591975994394
2086,290.41694008548916,237.23438049501192,99.82651606036994,340.16381472183167
2087,290.5712679999885,237.36124302298992,99.8896223370778,340.1649396183768
2088,290.77404985406366,237.64125649592302,100.4284005308137,340.1977966896456
2089,290.64131560711667,237.45081678784507,100.33433781636323,340.19769639733806
2090,290.53395838479884,237.63257136370942,99.79316590707576,340.25208743978277
2091,290.48531541934034,237.5274437711748,99.45411240668308,340.28868907718567
2092,290.59470124813566,237.3166119365437,99.82003857199379,340.37442895051885
2093,290.7676195477,237.50933845123396,99.76505620679723,340.3202965979072
