Year,ERF
1850,0.5359031293054726
1851,0.534557160847673
1852,-0.09238993830351587
1853,0.4907896123327288
1854,-0.7502518446930994
1855,0.9714974406754586
1856,0.021706211687161844
1857,0.8042081719838649
1858,-0.004645737127302096
1859,0.7372953427422395
1860,-0.08766836793654326
1861,-0.7296372580480204
1862,-0.7272048203176786
1863,0.3072353808441307
1864,-0.3275944941280414
1865,0.5825672644105906
1866,0.42910621981912794
1867,0.21289412652751466
1868,0.4010149211377104
1869,0.47445174477228247
1870,0.24753439070676542
1871,0.18792253558525482
1872,0.3474857751801824
1873,-0.5754052417871476
1874,0.2767901198428042
1875,0.08889324028666748
1876,0.271107236742789
1877,0.47093223844337195
1878,-0.2525658899264667
1879,0.6032682646641763
1880,-0.19794725350839387
1881,-1.1636303752588266
1882,0.2813027596601477
1883,-1.4350378104445367
1884,-2.1230489108906863
1885,-0.48686814818061913
1886,-0.47844491737999795
1887,0.37831989719462733
1888,-0.7738334047260421
1889,0.3789861046520041
1890,0.1991522443971199
1891,-0.2219822407953135
1892,0.28836214990546405
1893,0.4725922163563987
1894,0.42068158902037006
1895,0.4419856140486168
1896,0.19479310510357079
1897,0.6222922282583273
1898,0.2999351960290497
1899,0.4092612814536271
1900,0.4112217655732878
1901,-0.29831488807088896
1902,0.24573399520658018
1903,-1.1669305948137336
1904,-0.7560815669111917
1905,-0.295639880077019
1906,-0.1765897548996443
1907,0.7310472005259762
1908,-0.12494675500178219
1909,-0.5908661815228942
1910,0.3213755546801962
1911,-0.730876775250037
1912,-0.40158090172972793
1913,0.11115576041717519
1914,0.000995813625129592
1915,0.006495131300569348
1916,-0.08450041905205405
1917,0.6960048562861547
1918,0.26853723706020327
1919,0.0663506940745491
1920,0.1480114069990949
1921,0.07058140859226807
1922,0.29541103179752937
1923,0.23077827935799555
1924,0.6779114736847902
1925,0.08080754888937983
1926,-0.06363506315971401
1927,1.2200336237051372
1928,0.4293570732209211
1929,0.5276773791029192
1930,0.3126865521875721
1931,0.5297842024063646
1932,0.6403850866374763
1933,0.3785895299722529
1934,0.9502673821414986
1935,0.7045404509927817
1936,1.0317295205137074
1937,0.7023310080065461
1938,-0.22314529999910843
1939,0.5448205522270899
1940,0.16400795894900339
1941,1.2600129669994915
1942,0.07221549047335438
1943,0.9295733020017093
1944,0.8679153986150758
1945,0.3359280177697198
1946,0.647386050945721
1947,0.35250553316188665
1948,1.0463150592415937
1949,0.5700855469921551
1950,1.1619877327188994
1951,0.1607580308014287
1952,0.9361460173035684
1953,-0.30120559464003926
1954,1.3020216563062288
1955,0.21366609877206028
1956,0.1060044311672261
1957,0.906115300286161
1958,0.44708044852656775
1959,0.453251539984091
1960,0.3743942045471014
1961,0.15280104529892494
1962,0.23214551703803588
1963,-1.6340718334110353
1964,-0.496712840862516
1965,-0.6054283174706631
1966,0.7801778456709849
1967,-0.4874171405323773
1968,0.34754369786741124
1969,0.38507037622243884
1970,0.024928768255625733
1971,-0.17431012425396095
1972,-0.5546575680519403
1973,0.4893884072782841
1974,-0.051567589705786815
1975,0.004031186307755813
1976,0.1895760197992489
1977,1.0770779646443718
1978,0.25452772381450706
1979,0.6686001215140277
1980,-0.36227187039519226
1981,1.0183438867585628
1982,-0.48282069118361276
1983,0.02972336590243624
1984,0.35133962738429325
1985,-0.38300897907011466
1986,0.9583561541699033
1987,0.9104519693977811
1988,1.1963728939331675
1989,1.1968626566760165
1990,0.47311856590363194
1991,0.1281148747459877
1992,-1.793082149009179
1993,-0.18819981984128925
1994,1.1580160483576627
1995,1.5564249487277855
1996,1.009464626287954
1997,0.5584273105007165
1998,1.6720639091852845
1999,1.0617191976941474
2000,1.9270857505464283
2001,1.9674495243516141
2002,0.9861226626746755
2003,1.5393526227986323
2004,1.3001199344508376
2005,1.359328735525804
2006,0.9450845533594973
2007,1.9327393562923505
2008,1.6147629824355814
2009,2.030318409224188
2010,1.77923452139411
2011,1.6973406215436402
2012,2.0721071332665266
2013,1.5629626982882894
2014,2.4091256366522593
