Year,ERF
1850,-0.24176157656955852
1851,0.6805036612064738
1852,-0.19282518028641038
1853,-0.3470621401944553
1854,0.16946969297229267
1855,0.10551026175938324
1856,-0.16643596869025087
1857,-0.16760686786805878
1858,-0.01600634562029675
1859,0.3064312952711532
1860,0.2526702104304773
1861,-0.12908378609458393
1862,-0.915572701517254
1863,0.16087164257005263
1864,0.3183777520614709
1865,-0.04540341441538962
1866,0.1491106237634132
1867,0.10989016905663292
1868,0.16028411269307313
1869,0.7082314214687104
1870,0.5791411855618946
1871,0.21017268781352863
1872,0.7148979932220427
1873,0.02135570346374306
1874,-0.19381211451596114
1875,-0.1484732105731409
1876,0.5989472843639122
1877,-0.031081819780588035
1878,0.038305931876629534
1879,0.11166500505837876
1880,0.339984007971331
1881,0.06306591884324644
1882,0.07486388816165229
1883,-1.188120951787052
1884,-1.9237889269980968
1885,-0.5816804695426595
1886,-0.500746165056527
1887,-0.2987037206523964
1888,-0.3190542485736575
1889,-0.06125886714038822
1890,-0.08873841595909478
1891,-0.023494993433862868
1892,0.19058876496408111
1893,0.19460675124693327
1894,0.32924309075357316
1895,0.13891307697136132
1896,-0.021196164948957336
1897,0.5185733859903396
1898,-0.1465472144298035
1899,-0.10076463223984165
1900,0.07033880176669198
1901,0.16998121289260287
1902,0.48408681042024426
1903,-0.9024888607811367
1904,-0.7332105471922977
1905,0.16537347226151516
1906,-0.10201593731153547
1907,-0.0842634746177269
1908,0.23223495502249752
1909,-0.031423575667671774
1910,-0.1560704428810099
1911,-0.07295734491874221
1912,-0.4570802458033707
1913,-0.4419045158472512
1914,-0.11261867006363935
1915,-0.07111239703238816
1916,0.26539665284749836
1917,0.15130356386849186
1918,0.05285718910848551
1919,0.24981786649159907
1920,-0.18478075122452411
1921,0.49614127963358307
1922,-0.2497612406000128
1923,-0.1691311358472972
1924,-0.029640132294561566
1925,0.17156151733521796
1926,-0.38547836675648395
1927,0.22764300365826873
1928,0.03413303465591698
1929,0.3490302167320376
1930,0.48249704051211134
1931,0.11475455870291536
1932,0.1354460604922707
1933,0.4835118164883608
1934,0.3033792654009173
1935,0.05647756863746328
1936,0.17726936021596718
1937,0.33481303746119406
1938,0.028457553235883566
1939,0.6838408134635907
1940,-0.015570840903668878
1941,0.3077378903905869
1942,0.42952458619944706
1943,0.2923579349623341
1944,0.0018159771337805525
1945,0.2673247271280898
1946,0.4596466959080542
1947,0.4041396685379325
1948,0.02550187452260165
1949,-0.026233747361780677
1950,0.17592442480183357
1951,0.10014338241738796
1952,0.4880850177414605
1953,0.3760739966866227
1954,0.26001974050353593
1955,0.050865287194434256
1956,0.5707301874587823
1957,0.3276405878835673
1958,0.4585211577911622
1959,0.42836743858354354
1960,0.30139859270868274
1961,0.40193962442004666
1962,0.10943329772722593
1963,-1.2526792074779802
1964,-0.14270473789687824
1965,0.08453893132497453
1966,0.3066190238652657
1967,-0.03298322952281873
1968,0.5652365119224919
1969,0.880378434444312
1970,0.5107724057989464
1971,0.3941343881369035
1972,0.7521817655660772
1973,0.522859277162405
1974,0.14159380082607104
1975,0.34530514717152583
1976,0.5320386606061306
1977,0.8699073720947477
1978,1.009628769965299
1979,0.8151128106651874
1980,1.1239806175980145
1981,1.2010804415391223
1982,0.8399424816166476
1983,0.5572330060940581
1984,0.5893342150429532
1985,0.8348450906029504
1986,1.0668751063999062
1987,1.0403325011072382
1988,1.7345293007127227
1989,1.1214283217439829
1990,1.4729239241609036
1991,0.8408183936157795
1992,-0.09307029551543583
1993,0.5095963925778433
1994,1.0133326931498945
1995,1.1441123573204903
1996,1.4743611402485874
1997,1.732529348349552
1998,1.6989279495358174
1999,1.8482581741825839
2000,2.2192048877726904
2001,1.802218027461452
2002,1.716946021098607
2003,1.9276733369712824
2004,2.276739647818067
2005,1.9175145097069213
2006,1.8583522571772748
2007,1.770896177703513
2008,1.6976638409530063
2009,2.128096918488983
2010,1.8208556802449554
2011,2.6627925353552175
2012,1.5710621851298399
2013,2.4632163580877835
2014,2.533630195348513
