Year,ERF
1850,0.48358976205886345
1851,-0.8581299775053585
1852,-0.5256348771610166
1853,0.13811094929671902
1854,0.09548441356192176
1855,0.19768578206015605
1856,0.15043433621151844
1857,0.013741337476634516
1858,0.23738748818442862
1859,0.12163602502799141
1860,-0.6058194527781344
1861,-0.9886209298426776
1862,-1.2108102441372401
1863,0.2149999919222889
1864,-0.47079224573027734
1865,0.1710329193057528
1866,0.4366208972091147
1867,-0.1397336118401632
1868,0.4162920012103299
1869,0.35273543239729277
1870,0.35556690170119176
1871,-0.4603938223113015
1872,-0.2775870027683654
1873,-0.9496620495470361
1874,0.3690129034906924
1875,0.09215956514769624
1876,-0.6876106416046
1877,-0.23787310789511795
1878,0.034871735129363396
1879,-0.16231142893345735
1880,-0.2898290638271156
1881,-0.5388516951121007
1882,-0.18173200440264622
1883,-1.3400570486114534
1884,-2.1496608433708806
1885,-0.580080729845729
1886,0.17576913247207449
1887,-0.03164330347786076
1888,-0.004075810320531281
1889,-0.19758214191752813
1890,-0.1576301206392557
1891,-0.16909290478295563
1892,-0.48381479989133197
1893,-0.3487228776816357
1894,0.4706847156224161
1895,0.31682486158259826
1896,0.3097393334690786
1897,-0.4041805791402134
1898,-0.26202602911472755
1899,-0.024390586405235712
1900,-0.13832320555586042
1901,0.2952728302407379
1902,-0.35315798642038126
1903,-0.5943478414498891
1904,0.07259676610244456
1905,-0.14586683508939255
1906,0.1739203526285083
1907,0.6445941220454178
1908,0.04316862984189061
1909,0.035533194977390874
1910,-0.49849590482855005
1911,-0.6471620246613985
1912,0.22276045088031698
1913,0.3883527184751647
1914,0.05814019497601705
1915,0.44783823222865404
1916,0.3874569262757687
1917,-0.08866262708019217
1918,0.09158379474751552
1919,0.6842095016231894
1920,0.46975895724857814
1921,0.8017823484287557
1922,0.3528128627752169
1923,0.22865378845205936
1924,-0.07309451167356329
1925,-0.3820505843754368
1926,0.39363985915098265
1927,0.4123952693439602
1928,0.6085270615144946
1929,0.5571202075586519
1930,0.6115846909753304
1931,-0.4109631349122527
1932,0.5156109734053507
1933,0.630312759529463
1934,0.9623501617082348
1935,0.4258903159201908
1936,0.6177504629109135
1937,0.5384811769008386
1938,0.34653990906010884
1939,-0.3368654589037069
1940,1.0465763010390758
1941,0.3412339867900689
1942,0.8121309203487568
1943,0.20604732102077392
1944,0.41116330347378766
1945,0.33663647507519484
1946,0.3837872730595054
1947,0.2428992596631032
1948,0.3891394351232049
1949,0.3253064196707207
1950,0.2683234307010414
1951,0.03074670838514107
1952,0.8168914455047074
1953,0.15858943769620099
1954,0.4564486548185817
1955,0.6424662562427546
1956,0.7774265794753735
1957,0.9002013893336931
1958,0.5289114085215039
1959,0.29550024564526456
1960,0.711354012654049
1961,0.29966524983190407
1962,-0.2261126509155776
1963,-1.0294155391619475
1964,0.04839530189451208
1965,0.7473637942785911
1966,1.4471515089826144
1967,0.398339209417668
1968,0.7099475233918109
1969,-0.19589859159166176
1970,0.9713813082898115
1971,1.1269630583570847
1972,0.2894485643776752
1973,0.7790358441350239
1974,0.9908431787444759
1975,0.7095245638023762
1976,0.7419847108098993
1977,1.0389921880931667
1978,1.7074372425417392
1979,1.4892040917367644
1980,1.3963414724181127
1981,1.51223833961381
1982,1.7076357081100455
1983,1.0550623502634706
1984,0.9708311015173523
1985,1.0880009593705453
1986,1.879965461338584
1987,1.8721919770473234
1988,1.7230692827048708
1989,1.3677630243754637
1990,2.4857120674493234
1991,1.2818988097441153
1992,0.1780168253554284
1993,0.9269798956350105
1994,1.7823772273697394
1995,2.072408436111221
1996,2.0982551140700094
1997,2.255127666250579
1998,2.869458194099166
1999,2.84329570809136
2000,1.6057395668133467
2001,2.0613652029073974
2002,3.0233320246177415
2003,2.9005565992142395
2004,2.7805564863270167
2005,2.0569028637872306
2006,2.248343828984635
2007,2.0427663325046117
2008,2.5276827269788513
2009,2.5974721707736164
2010,2.1806880174315473
2011,2.454255085793945
2012,2.43536717900169
2013,2.8603021198687566
2014,3.606702791122645
2015,2.790141722827668
2016,3.5986305216784955
2017,3.6221105686094894
2018,3.3156000189515864
2019,2.923009076626535
2020,3.059842465625331
2021,3.7035719642470406
2022,3.20528859043392
2023,2.7790123695310065
2024,3.9161026243839943
2025,3.6215468060556777
2026,3.284316978606116
2027,3.2908746855905093
2028,3.228866608586686
2029,4.3201685415276065
2030,2.981213716078362
2031,2.221385144033264
2032,3.3517941721582534
2033,4.279961275359504
2034,4.86990000996293
2035,4.519449210037242
2036,4.485606492513425
2037,4.746066583477153
2038,3.7353282058163195
2039,4.602161102830973
2040,4.701558223691164
2041,4.559295987488375
2042,4.447501982110724
2043,4.419535325189944
2044,4.767155426215734
2045,5.049397148283997
2046,5.556981905449856
2047,5.004915284734542
2048,5.260414602810133
2049,4.895516724398327
2050,5.326278057292104
2051,5.781662370631199
2052,5.680834287877544
2053,5.154140457492548
2054,5.592007613625718
2055,5.9596458861268715
2056,5.9859305710258015
2057,5.643297170332082
2058,5.72662835012875
2059,6.405481009757186
2060,6.7072316466424375
2061,6.418866230030696
2062,6.5634254534822025
2063,7.338621251783396
2064,7.0466626286739915
2065,7.049043867844477
2066,6.749140905711807
2067,7.109004992715341
2068,8.054460483983569
2069,7.397375622764358
2070,7.0943713190764655
2071,7.813621056068285
2072,7.6747447795812125
2073,7.735602292746865
2074,7.985334804276615
2075,8.343355831133028
2076,8.388594105995573
2077,8.507324461862869
2078,7.644332728586995
2079,8.752842430551823
2080,9.191289108151484
2081,8.343600419300572
2082,8.967034589038981
2083,9.313447438195164
2084,9.303909257890632
2085,9.155264907794537
2086,8.992297174843067
2087,9.18897743354008
2088,9.748896849321417
2089,9.938619761866981
2090,9.206368310725203
2091,9.172261146791364
2092,9.757678167108583
2093,9.806995330590988
2094,10.111022117227195
2095,10.607017750700903
2096,10.099266312762616
2097,10.089839843166883
2098,10.326469379118297
2099,10.567521915080471
