Year,ERF
1850,0.1747300148784569
1851,0.05575035478445426
1852,0.33408778244278836
1853,0.12019529826153244
1854,0.21175287241148993
1855,0.0859848647940806
1856,-0.6168401846147497
1857,0.08897515323206583
1858,0.7110442830634269
1859,-0.058070665646083736
1860,-0.2523447566580136
1861,-0.2926667352742223
1862,-0.4992879875862627
1863,-0.07381662419746574
1864,0.5278884444398981
1865,0.45809622554763657
1866,-0.04972240126757184
1867,0.10188927832550015
1868,-0.17073840993593487
1869,0.14157710626284245
1870,0.14005638901714854
1871,0.1015342899189508
1872,0.1311753868137881
1873,0.03055024045057235
1874,-0.1914211284602445
1875,0.617702866166307
1876,0.7976520163911165
1877,0.3430265818844104
1878,0.6626413447277433
1879,0.8005459942731981
1880,-0.301077010619201
1881,0.008921609478506412
1882,-0.18742596196613945
1883,-0.6703505831472708
1884,-1.8447595894687714
1885,-0.544851452089616
1886,-0.2660550396520337
1887,0.009583961612913139
1888,0.10527785286116385
1889,-0.5764307639634716
1890,-0.3234921362875733
1891,-0.4848006664594753
1892,0.027350013493608674
1893,-0.6133206339913473
1894,0.447030108909023
1895,0.2082304285619841
1896,0.22045310297821868
1897,0.5995423363405002
1898,-0.5469443710535847
1899,-0.5883924996005516
1900,0.2507286857994388
1901,0.3303272766505453
1902,-0.3994413402470236
1903,-1.1820369192513178
1904,-0.1493218004481939
1905,0.07076355714771898
1906,-0.2134178414370753
1907,-0.1143435220796733
1908,0.17427833890549219
1909,-0.10160908491022835
1910,-0.02770692157675978
1911,0.20441575329326994
1912,-1.3053960066655366
1913,-0.7798321842877923
1914,0.1657643709496881
1915,0.580450295217923
1916,0.21493194533911103
1917,-0.044121329535720615
1918,-0.5300261719708592
1919,0.23056221159219917
1920,0.10509789729810114
1921,-0.5186667849919395
1922,0.1580596127583454
1923,0.20657812225310035
1924,-0.3014142122242718
1925,0.05049806151964702
1926,0.8199436946454092
1927,-0.655922037383152
1928,-0.09309338937923854
1929,-0.10159910465481886
1930,-0.6792894037194406
1931,0.8047131308910451
1932,-0.04051676553062362
1933,-0.28977284855784796
1934,-0.24097141349195583
1935,0.10275646409154086
1936,0.3163448482326049
1937,-0.11486667817326254
1938,0.3303796474198881
1939,0.13212654471210167
1940,-0.24486283798750336
1941,-0.13973662498590692
1942,-0.25027486144748384
1943,-0.4911611611505149
1944,0.23145289093010696
1945,-0.00925195625339445
1946,-0.05683864501526993
1947,0.6346321251282879
1948,0.37313810025240013
1949,0.6909506929347509
1950,-0.34305119875070345
1951,-0.49725056138414025
1952,0.09904926407593047
1953,0.353553190954369
1954,0.5314352120642589
1955,-0.7539472363079843
1956,-0.11501302586801089
1957,0.2920019281485534
1958,0.13572420146432168
1959,0.2317812975830181
1960,-0.0376577532010256
1961,-0.20087277667065243
1962,-0.4104856269697273
1963,-1.5923799669802994
1964,-0.680082773839894
1965,-0.5270718933858101
1966,-0.5801418825260298
1967,-0.40471080505992424
1968,-0.2078341517999754
1969,-0.10938484908486468
1970,-0.5691563284833899
1971,-0.8581352536530632
1972,0.32741228902859293
1973,0.45721063987806726
1974,-0.2101252788128294
1975,0.06950731595524223
1976,0.15161738851507445
1977,-0.10160520196278987
1978,0.4612982603042109
1979,0.2559996947798888
1980,-0.45987479099019707
1981,0.6968647299798684
1982,0.5187514338805669
1983,-0.520603680834992
1984,-0.08206838850624196
1985,0.49197946847809304
1986,0.8196299456946254
1987,0.007513781888636009
1988,0.11852239109565466
1989,0.3653368376667773
1990,0.6875149598520671
1991,-0.38056645138851825
1992,-1.1557264509209744
1993,-0.2884441228118786
1994,0.527864732420408
1995,0.9397954701901291
1996,0.731889432031102
1997,0.7923918166491348
1998,1.0712865593615228
1999,1.2245894767002865
2000,0.7830873054647376
2001,1.1687820697619864
2002,1.3567900494051142
2003,0.8704596154006184
2004,0.8516687103284654
2005,1.474319069269459
2006,1.462998217593353
2007,0.9833807045577299
2008,1.7497995109058246
2009,2.270607530445399
2010,1.3764222695982675
2011,1.123445336199437
2012,2.146066519606813
2013,2.363963393179409
2014,1.8254617126350696
