model,a1,b1,d1
ACCESS-CM2,-1.655583787500155e-07,0.0006534286548493593,6.057858795732456
ACCESS-ESM1-5,-1.0785244588326223e-20,0.0001007713255594093,5.345975780688439
AWI-CM-1-1-MR,-1.2194050373435037e-06,0.0024748051219620855,5.120283328311714
BCC-CSM2-MR,-4.1834497605611623e-23,0.0005081218816144791,5.160850734647366
BCC-ESM1,-1.1817780771294887e-06,0.0018077351727143116,4.3584492240944535
CAMS-CSM1-0,-3.867218665135441e-25,0.00010887947553942624,6.2394238497198655
CanESM5,-1.165819205807914e-21,0.0010586444988667904,4.52960059334974
CESM2,-2.693082683339841e-22,0.0012959095241531688,5.523517024466754
CESM2-FV2,-4.780976535576002e-23,0.001824641440457991,6.107693964895851
CESM2-WACCM,-1.925929944387236e-34,0.001199358006609855,5.63540430975723
CESM2-WACCM-FV2,-1.1166885788127571e-20,0.0008242703680633777,3.9912909372109033
CMCC-CM2-SR5,-5.573065857117656e-05,0.026385978607831397,2.0195108916973696
CMCC-ESM2,-2.253969744023617e-05,0.015491326201846494,3.2037337133247923
CNRM-CM6-1,-2.699969489148095e-07,0.0011132360431174591,5.294222537036365
CNRM-CM6-1-HR,-3.0260789016384797e-21,0.00019443725922354123,5.435159488334361
CNRM-ESM2-1,-0.1197397023231262,0.0007052017117899838,4.0920037789802635
E3SM-1-0,-9.860761315262648e-30,0.00026815199062993485,6.565705164664604
EC-Earth3,-5.567280754617835e-07,0.0011673452327864607,5.268932240785987
EC-Earth3-AerChem,-7.517072444424623e-07,0.0012767622338432463,5.613284824075149
EC-Earth3-CC,-7.451602117987301e-07,0.0016527953950184508,5.863569873554953
EC-Earth3-Veg,-2.5891835087543936e-05,0.010304444589209738,5.219459387481215
FGOALS-f3-L,-4.6481674670019825e-06,0.0035346128031252468,6.092121107493834
FGOALS-g3,-2.3253665501277163e-06,0.0031542824475212406,4.228934605481951
GFDL-CM4,-1.0064255213638299e-05,0.007589071982987952,4.948859494592329
GFDL-ESM4,-1.5954676096517093e-07,0.0006064156100591501,5.458927454349642
GISS-E2-1-G,-0.3590857110941973,0.0006749479171850203,4.72107649807462
GISS-E2-1-H,-5.400300631797996e-06,0.004435949332713391,5.009903345937009
GISS-E2-2-G,-3.191640227217144e-05,0.015168534226174727,3.467857056263833
GISS-E2-2-H,-0.018129454005789736,0.0007355473641700075,5.612665985514033
HadGEM3-GC31-LL,-4.455300968096089e-07,0.0010719144594180674,5.338850643004939
HadGEM3-GC31-MM,-1.1276176756366122e-06,0.0018919399007277684,5.569249064153509
ICON-ESM-LR,-1.034572371333142e-23,0.0010096558696860922,6.0868213634399
IITM-ESM,-0.007829428393344313,0.38743856984423003,2.6792072997920173
INM-CM4-8,-0.002409019189099128,0.22316255244846528,1.308502962223266e-10
INM-CM5-0,-4.0577719053467673e-07,0.0013271508427113473,4.105959851778398
IPSL-CM5A2-INCA,-4.82743107517027e-22,0.0004083631229410428,5.0813044282703235
IPSL-CM6A-LR,-2.848157396569344e-17,0.0008081979104127009,6.181890221060918
KIOST-ESM,-0.05956179275126158,0.0010723064344924879,5.7887595470494935
MIROC-ES2L,-5.976518568235198e-07,0.0016136213143726512,5.2317830293129965
MIROC6,-2.229134217194791e-07,0.0013954519407854441,4.6374375270020805
MPI-ESM-1-2-HAM,-7.114426204409936e-07,0.0017322133206174699,5.9027601034683554
MPI-ESM1-2-HR,-3.5542701138222744e-07,0.0007042370593017896,5.903598986411111
MPI-ESM1-2-LR,-5.733390530255041e-07,0.0014958910947885286,6.403972700127546
MRI-ESM2-0,-5.032162116124855e-07,0.0012620188185021213,5.16568004592254
NESM3,-0.008112887817152248,0.00026255637432978375,8.090240520376671
NorCPM1,-3.669391528359969e-07,0.0008548692789522689,4.976801602047076
NorESM2-LM,-1.2864322769274107e-21,0.0012667663660488944,5.840867024457896
NorESM2-MM,-4.182325961641536e-24,0.0010189822738987406,5.769989555854961
SAM0-UNICON,-3.7901765668986157e-23,0.000748379314489049,5.741661966950351
TaiESM1,-0.01177365958974497,7.099011060278231e-05,6.728113988562099
UKESM1-0-LL,-5.129096825673298e-05,0.012355955956799307,5.407981145439009
