year,ssp119,ssp126,ssp245,ssp370,ssp585
1850,0.12397840388351479,0.12397840388351479,0.06089793976467932,0.12397840388351479,0.12397840388351479
1851,0.14838510888030954,0.14838510888030954,0.04141277622532147,0.14838510888030954,0.14838510888030954
1852,-0.19437444751402763,-0.19437444751402763,-0.11290868147773825,-0.19437444751402763,-0.19437444751402763
1853,0.10357939547774359,0.10357939547774359,0.06704863553137815,0.10357939547774359,0.10357939547774359
1854,-0.11662359618082709,-0.11662359618082709,-0.07632546677367202,-0.11662359618082709,-0.11662359618082709
1855,-0.08217664587680357,-0.08217664587680357,-0.14277966353948215,-0.08217664587680357,-0.08217664587680357
1856,-0.1064676136579554,-0.1064676136579554,0.030176768290193362,-0.1064676136579554,-0.1064676136579554
1857,-0.18777294444650883,-0.18777294444650883,-0.14218434337708838,-0.18777294444650883,-0.18777294444650883
1858,0.021315125564071877,0.021315125564071877,-0.05994655123149729,0.021315125564071877,0.021315125564071877
1859,-0.07369933469056159,-0.07369933469056159,-0.047511155903148916,-0.07369933469056159,-0.07369933469056159
1860,-0.23474664923715446,-0.23474664923715446,-0.17226426419188048,-0.23474664923715446,-0.23474664923715446
1861,-0.2604026628232153,-0.2604026628232153,-0.328804679362119,-0.2604026628232153,-0.2604026628232153
1862,-0.14945256456733141,-0.14945256456733141,-0.13521197363874182,-0.14945256456733141,-0.14945256456733141
1863,-0.16867411155618472,-0.16867411155618472,-0.12116518326649198,-0.16867411155618472,-0.16867411155618472
1864,-0.25250751603463445,-0.25250751603463445,-0.20846468218581177,-0.25250751603463445,-0.25250751603463445
1865,-0.19437266019527163,-0.19437266019527163,-0.08317187463238737,-0.19437266019527163,-0.19437266019527163
1866,0.031866210798954304,0.031866210798954304,-0.09116541662290359,0.031866210798954304,0.031866210798954304
1867,-0.2092388543311708,-0.2092388543311708,-0.182690107483846,-0.2092388543311708,-0.2092388543311708
1868,-0.04867059895996531,-0.04867059895996531,-0.059892027209574455,-0.04867059895996531,-0.04867059895996531
1869,0.1130114507389122,0.1130114507389122,0.04261285716593942,0.1130114507389122,0.1130114507389122
1870,-0.14392685055768303,-0.14392685055768303,-0.1279556843979177,-0.14392685055768303,-0.14392685055768303
1871,-0.07031141160156087,-0.07031141160156087,-0.08373977372230773,-0.07031141160156087,-0.07031141160156087
1872,0.004012878705046366,0.004012878705046366,-0.03793154095567568,0.004012878705046366,0.004012878705046366
1873,-0.1580078942678465,-0.1580078942678465,-0.17897167474141207,-0.1580078942678465,-0.1580078942678465
1874,-0.04606882217903184,-0.04606882217903184,-0.1034350622562959,-0.04606882217903184,-0.04606882217903184
1875,-0.09152994714756776,-0.09152994714756776,-0.13967892163659884,-0.09152994714756776,-0.09152994714756776
1876,0.06696618026832128,0.06696618026832128,-0.11243542029158649,0.06696618026832128,0.06696618026832128
1877,-0.04435486319155705,-0.04435486319155705,-0.011721752573410918,-0.04435486319155705,-0.04435486319155705
1878,-0.31664099142965496,-0.31664099142965496,-0.24822707320030224,-0.31664099142965496,-0.31664099142965496
1879,-0.009675023224072272,-0.009675023224072272,-0.0983856076732007,-0.009675023224072272,-0.009675023224072272
1880,0.011494592555633662,0.011494592555633662,-0.04796550224153141,0.011494592555633662,0.011494592555633662
1881,-0.2498021881726315,-0.2498021881726315,-0.22522250347007666,-0.2498021881726315,-0.2498021881726315
