year,ssp585,ssp245,ssp370,ssp126,ssp119
1850,-0.7052431819463936,-0.7052431819463936,-0.6084169663862429,-0.7052431819463936,-0.9718680134415625
1851,-0.23540394202928977,-0.23540394202928977,-0.2684953417120018,-0.23540394202928977,-0.3205736783249858
1852,-0.4534479022707981,-0.4534479022707981,-0.49691395954603435,-0.4534479022707981,-0.7144700545616461
1853,-0.6799803408205084,-0.6799803408205084,-0.5864275596904666,-0.6799803408205084,-0.487497794450665
1854,-0.28479621880974154,-0.28479621880974154,-0.31797446900396364,-0.28479621880974154,-0.36250344336875673
1855,-0.14953935035717913,-0.14953935035717913,-0.049041311925586695,-0.14953935035717916,-0.3812873360970378
1856,-0.4815540326148784,-0.48155403261487845,-0.4544443450352513,-0.48155403261487845,-0.47586143644693385
1857,-0.295217356373482,-0.295217356373482,-0.34994928950191817,-0.29521735637348195,-0.06796484460770685
1858,-0.0572792915020854,-0.0572792915020854,0.011238927920960942,-0.05727929150208541,0.10816993319564763
1859,-0.3280777141620315,-0.3280777141620315,-0.27774882611894314,-0.3280777141620315,-0.38506959097668675
1860,-0.17671255535777328,-0.17671255535777328,-0.308218687448963,-0.17671255535777328,-0.09016838124967325
1861,-0.7583736658655755,-0.7583736658655755,-0.69953519014723,-0.7583736658655755,-0.6031272765476535
1862,-1.0960097269548472,-1.0960097269548472,-1.0324855100533314,-1.0960097269548472,-0.8967867381178145
1863,-0.6550786428880256,-0.6550786428880256,-0.628287928843539,-0.6550786428880255,-0.4218697065044784
1864,-0.28732101192730386,-0.28732101192730386,-0.15675737689586416,-0.28732101192730386,-0.11207348877726561
1865,-0.2665266987242996,-0.2665266987242996,-0.2075019997555087,-0.2665266987242996,-0.2807676352833839
1866,-0.4785542370500715,-0.4785542370500715,-0.5446467807230364,-0.4785542370500715,-0.27195354560460094
1867,-0.1140806056462688,-0.1140806056462688,-0.11643288580192333,-0.1140806056462688,-0.32504929728857057
1868,-0.2398466518512718,-0.23984665185127182,-0.2553856689862486,-0.23984665185127182,-0.3134933251360607
1869,-0.49863022653714617,-0.49863022653714617,-0.3690781748191974,-0.49863022653714617,0.10355539568048588
1870,-0.03274645670803048,-0.032746456708030496,-0.027355404222423645,-0.03274645670803048,-0.2911217694248965
1871,-0.4114222755859983,-0.4114222755859983,-0.4117391155958112,-0.4114222755859983,-0.1452233080713388
1872,-0.42920556611274446,-0.42920556611274446,-0.33703483198130285,-0.42920556611274446,-0.48285194263297443
1873,-0.4054872859888729,-0.4054872859888729,-0.4670525117383277,-0.40548728598887296,-1.0250234432686773
1874,-0.1706475170394215,-0.1706475170394215,-0.08896077171128192,-0.1706475170394215,0.4425758786977805
1875,-0.21423601492914343,-0.21423601492914343,-0.1862799411913154,-0.21423601492914343,-0.2913860436528012
1876,-0.10551090987125608,-0.10551090987125607,-0.11584416950442819,-0.10551090987125607,-0.08652985328744357
1877,-0.44635072939746745,-0.44635072939746745,-0.3364185236608567,-0.44635072939746745,-0.4687493126453316
1878,-0.15506195396223849,-0.15506195396223846,-0.22887612206180274,-0.15506195396223849,0.06430460305066747
1879,-0.012471248740306681,-0.012471248740306681,-0.14794237485949657,-0.012471248740306695,-0.18757779314828765
1880,-0.5073840593562216,-0.5073840593562217,-0.5325759401683661,-0.5073840593562217,-0.8321503512782371
1881,-0.2327121841716937,-0.2327121841716937,-0.13084916419673723,-0.2327121841716937,0.039010776458710525
1882,0.006392536134405963,0.006392536134405963,-0.08097073938768873,0.006392536134405963,-0.08781124120397091
1883,-1.0097299980043775,-1.0097299980043775,-0.9930270451527227,-1.0097299980043775,-1.289357369838282
1884,-1.5918940426788761,-1.5918940426788761,-1.55866132296438,-1.5918940426788757,-1.6409838796953027
1885,-0.5342636558318216,-0.5342636558318216,-0.5203534607950441,-0.5342636558318216,-0.6363001144974545
1886,-0.6140560743800189,-0.614056074380019,-0.538910693847759,-0.614056074380019,-0.8230713544234111
1887,-0.5339366988445918,-0.5339366988445918,-0.5164094250566156,-0.5339366988445918,-0.5504996623438871
1888,-0.16349091394123952,-0.16349091394123952,-0.252753587732817,-0.16349091394123952,-0.37265043642747475
1889,-0.18473713017652077,-0.18473713017652074,-0.15256057286727553,-0.18473713017652074,-0.06242352503600912
1890,-0.4167215734000409,-0.4167215734000409,-0.39506042767885147,-0.4167215734000409,-0.5864889556533787
1891,-0.3618798506156473,-0.3618798506156473,-0.4618272072674937,-0.3618798506156473,-0.4742890787920635
1892,-0.3608929076022144,-0.3608929076022144,-0.23199059700391256,-0.3608929076022144,-0.4478778806628021
1893,-0.13389068687960443,-0.13389068687960443,-0.12095785215604428,-0.13389068687960443,-0.195650182237231
1894,-0.012270540754126674,-0.012270540754126674,0.009605883462076498,-0.012270540754126674,-0.20010567062988216
1895,-0.22386264268470574,-0.22386264268470574,-0.09483083989031114,-0.22386264268470574,-0.3614041089985641
1896,-0.09003949156272548,-0.09003949156272548,-0.10111756752114245,-0.09003949156272548,0.303537176165582
1897,0.03947508411094025,0.03947508411094025,0.057287939006350985,0.03947508411094028,-0.01863477607216854
1898,0.0048431831541903,0.0048431831541903,-0.06900156534366592,0.004843183154190328,0.22608333088048319
1899,-0.14431121263939622,-0.14431121263939622,-0.18124700688549375,-0.14431121263939622,-0.13189771344880263
1900,-0.23839395198246266,-0.23839395198246266,-0.13203389260780712,-0.23839395198246266,-0.5683543511724136
1901,-0.18464421086519597,-0.18464421086519597,-0.20290269927510726,-0.18464421086519597,0.480768004361459
1902,-0.626488001486255,-0.626488001486255,-0.6205123594057125,-0.626488001486255,-0.5335082448947674
1903,-1.3795434309363195,-1.3795434309363197,-1.344845153101898,-1.3795434309363197,-1.38341785304697
1904,-0.8070618682034958,-0.8070618682034958,-0.8492470519258426,-0.8070618682034958,-0.5219378262855339
1905,0.002671697332537193,0.002671697332537165,-0.07857497941460827,0.002671697332537193,-0.08694418763495387
1906,0.001737037036876582,0.0017370370368766097,-0.062358488746731305,0.0017370370368766097,0.26169268115498556
1907,-0.44778628567646506,-0.44778628567646517,-0.43439191800718074,-0.4477862856764651,-0.024980934008473565
1908,0.0389286916051321,0.0389286916051321,0.06933655650080697,0.03892869160513207,-0.03725296557422908
1909,-0.24552384477116115,-0.24552384477116115,-0.2838765647104511,-0.24552384477116115,-0.3266542695140199
