,co2
1850,282.34130265047025
1851,282.90339010284106
1852,283.03740079756744
1853,283.2318020134744
1854,283.8737185467246
1855,283.843974650719
1856,283.30919895419214
1857,283.6183722703344
1858,285.2996061637128
1859,284.85138809948575
1860,284.39327655434903
1861,284.3582706505842
1862,284.1998937648111
1863,284.5309273825318
1864,284.7936030598985
1865,285.56731992411324
1866,286.39291378417295
1867,286.71673660318686
1868,287.0260741238585
1869,287.7447045119147
1870,287.8374257508807
1871,287.75995511722454
1872,288.4409722516681
1873,288.3733338941539
1874,288.2074570974031
1875,288.6497891321698
1876,288.88573145746483
1877,289.09088521494135
1878,289.7685825291312
1879,290.47337308608036
1880,291.0007635145195
1881,290.5120388907667
1882,289.90026857117454
1883,290.5031332626044
1884,291.0020882276746
1885,291.000603127019
1886,291.5933502931732
1887,291.3228505745975
1888,291.2735642539585
1889,291.5509828245613
1890,291.2523131377179
1891,291.7099150019853
1892,292.5404789586119
1893,293.1649864744952
1894,293.5572905842687
1895,294.02115079862233
1896,293.3865839161776
1897,293.1306425712543
1898,293.4522641992691
1899,293.59280614602943
1900,293.6268741646426
1901,292.96956638116103
1902,293.1594774612001
1903,294.6202433411163
1904,295.2208713256219
1905,294.8912537597768
1906,295.09529776718523
1907,296.08331451738565
1908,296.1365821054368
1909,296.30800463323857
1910,296.556077892434
1911,296.61530650926073
1912,297.20906581012105
1913,297.94996861698667
1914,298.62885715552153
1915,299.5060778332132
1916,300.253813097135
1917,301.03071349971907
1918,300.6521642393447
1919,300.38891826023666
1920,301.0076748205433
1921,301.5299784581788
1922,301.5713054091313
1923,301.9711228800243
1924,301.48458293520656
1925,301.34640817139433
1926,301.98226717202317
1927,303.1257782681682
1928,303.62950382870446
1929,303.8857621253821
1930,304.0613297151736
1931,304.495758403822
1932,305.0607605142713
1933,305.22040784911945
1934,305.12224564673255
1935,305.8569653984054
1936,307.0635039414965
1937,306.52255287315387
1938,305.9599009263647
1939,306.1514363271787
1940,306.6296580696334
1941,306.80503736064094
1942,306.5162547320923
1943,306.730387028762
1944,307.35788195599844
1945,308.2040283026456
1946,308.648707650214
1947,309.6592028312553
1948,311.87515199614955
1949,312.48707218358345
1950,312.0827264686723
1951,311.8893364318183
1952,312.5314760948261
1953,313.78741643950224
1954,314.4764744035033
1955,314.2637762043321
1956,314.92084335314695
1957,316.143550220592
1958,317.65486448738795
1959,318.60577646741797
1960,319.54571962237594
1961,319.6070230334009
1962,319.86958224870205
1963,320.98456696829805
1964,322.0041493438985
1965,322.96493965871025
1966,323.78130083968205
1967,325.3603262479129
1968,326.9737004261718
1969,328.8347019600099
1970,329.55650175902883
1971,330.5230953615061
1972,331.5046160727948
1973,333.19217799178733
1974,334.8723276291734
1975,336.44909406520867
1976,338.50864514231756
1977,339.33476190917844
1978,339.43231796267963
1979,340.67716511494757
1980,342.77796545818984
1981,345.1593995444788
1982,347.65924723967566
1983,348.9822008537287
1984,349.8313664353413
1985,350.9638797051222
1986,352.3309788619009
1987,354.2595452429672
1988,356.4262626932629
1989,358.25184804126377
1990,359.979713954029
1991,361.70376165008776
1992,362.6224795596371
1993,363.16368095311014
1994,364.06139147628807
1995,365.9064734490353
1996,367.260077696853
1997,368.50117885829945
1998,369.7648141771219
1999,371.52985154697274
2000,373.55452048368784
2001,375.5987039184929
2002,377.0390619900712
2003,377.5749409889223
2004,379.31161692119554
2005,381.281132455117
2006,383.8854020171478
2007,386.41411647700045
2008,388.9591605704917
2009,391.39164344709553
2010,393.91800846038666
2011,396.04134403693746
2012,398.13716158101494
2013,400.76310032368553
2014,404.05043192290844
