Year,nonCO2_erf
2015,-0.18508243556686876
2016,0.8021798787666712
2017,1.0569570466274385
2018,0.5208804625271135
2019,1.2461189981280447
2020,0.7767281628581371
2021,0.39844423568006615
2022,0.42947977329720377
2023,0.8907710948800047
2024,0.47310291353047873
2025,0.6407646775763061
2026,0.7888666881818933
2027,0.7693894071493292
2028,-0.025839409706622796
2029,0.5465986538423011
2030,0.8489063297003723
2031,0.6522661199823139
2032,0.4521792575484187
2033,0.647894969868918
2034,1.083949674576484
2035,0.7330642745163183
2036,0.09182224558662266
2037,0.7929515845017256
2038,1.2962870490812213
2039,0.6666083364090714
2040,0.6878796075965465
2041,1.0554180594193547
2042,0.4491017478286792
2043,0.14735282245897485
2044,1.2772019950624909
2045,1.6321627495019349
2046,0.6580866695035499
2047,0.616903478192445
2048,1.4095596340247356
2049,0.7276489370992709
2050,0.060401494834357194
2051,1.2959204714510553
2052,0.9396808443893292
2053,0.7352767282721735
2054,0.8472347691408944
2055,1.1273455580947247
2056,0.5837882589991117
2057,0.28892046454570375
2058,0.6568298341671173
2059,0.506559865208335
2060,0.6755757185368414
2061,0.31966489212500937
2062,1.123590877145877
2063,0.6911296755327823
2064,0.31865668641851697
2065,0.06513009425303462
2066,0.6332460253264425
2067,0.9452175524977253
2068,0.5708757943141891
2069,0.6366698715341435
2070,0.691947902994603
2071,0.6349983883462476
2072,0.43605157394580063
2073,0.4917247051932909
2074,0.7335847657169712
2075,0.8125598854260514
2076,1.0037791757288512
2077,0.695878796870312
2078,0.5495644074238397
2079,0.7362305938334162
2080,1.1184577266844782
2081,0.7288423514794684
2082,0.3971537514690455
2083,0.35355585871361717
2084,-0.03833716290304112
2085,0.8728754997668622
2086,1.2534257622716587
2087,1.3114156512839674
2088,0.5570374241340303
2089,-0.16656880404796137
2090,0.8184718008879353
2091,1.6984029159795861
2092,1.2429118516226683
2093,0.8819384386329276
2094,0.36169627439897756
2095,0.349018502787255
2096,1.2132694924604412
2097,1.1425223095415693
2098,1.3389986250613855
2099,1.317946162229025
