,co2
2015,407.99293997957386
2016,409.7866234427263
2017,412.65722368124324
2018,416.2613744647763
2019,418.1466208923846
2020,419.6855095358092
2021,422.06072762672125
2022,425.2501376086833
2023,428.25977267421894
2024,430.9300102023081
2025,435.0495889809131
2026,437.68451350068597
2027,438.4952056506116
2028,440.7128824130453
2029,443.9143284801969
2030,447.1571724841499
2031,450.2592422011909
2032,452.97411060924594
2033,456.30651708581655
2034,459.23166870844125
2035,461.6289500947502
2036,463.7503099342129
2037,466.29516433282924
2038,468.75877638851136
2039,471.93902759708584
2040,476.3178564526042
2041,478.71511010740943
2042,481.08027990714965
2043,483.55367637066155
2044,486.3351581782193
2045,488.9802492842701
2046,492.1711937405082
2047,495.4567152126908
2048,498.67572885817117
2049,501.32464056546803
2050,504.4163967105201
2051,507.21270840834376
2052,510.309131077508
2053,513.3313523381362
2054,516.2204385797917
2055,518.9417594645897
2056,521.6022866064089
2057,525.4300446449591
2058,528.4655815282465
2059,530.9004697156511
2060,533.3998134702197
2061,535.7616644008992
2062,538.3745632108154
2063,540.8063887353666
2064,542.9795712321538
2065,545.5452810762313
2066,548.6616577848479
2067,551.1156173102174
2068,554.0503206396658
2069,556.892153246836
2070,558.9643668596957
2071,560.9789053566407
2072,563.1620649017859
2073,565.5180462865108
2074,568.0211837531123
2075,569.9504532884329
2076,571.5839106733738
2077,573.9229585904254
2078,576.305351152559
2079,578.4709745778944
2080,579.5780645258224
2081,580.4931213208625
2082,581.5351647090363
2083,583.0838692814949
2084,583.7162722288593
2085,584.4051234603342
2086,585.8307664760182
2087,587.7324486951436
2088,589.2276218896474
2089,589.4889120202548
2090,589.3742060750716
2091,589.5235388176384
2092,589.9231495798557
2093,589.7505319287037
2094,590.6916664517942
2095,591.970544753464
2096,592.4498218595166
2097,592.7924267707406
2098,592.7756164239538
2099,592.8227058608755
2100,592.7807442078911
2101,592.4437047250274
2102,591.801671893865
2103,591.3468460531196
2104,590.3934127868794
2105,590.1940660034331
2106,590.3996967675338
2107,591.0109260524953
2108,590.6812857852585
2109,589.5911084955472
2110,589.2744748107172
2111,589.5216100751983
2112,589.4920623842523
2113,589.348558016346
2114,588.5849386081059
2115,587.7076464605736
2116,587.3366602184701
2117,588.0202768579675
2118,588.0386533393474
2119,586.7141082129291
2120,585.8408113556376
2121,586.3075482844392
2122,585.9738118630227
2123,585.6696823903594
2124,585.7539765479044
2125,586.0578614191986
2126,586.2457519027572
2127,586.304256699166
2128,586.4562614675457
2129,587.5945439454374
2130,586.4780983269851
2131,585.3218084364838
2132,584.9006915552569
2133,584.7037899844131
2134,584.6504031876643
2135,584.5959996681265
2136,584.6717136795836
2137,584.8307471117179
2138,585.1296307709787
2139,584.8131849397814
2140,584.7706450766077
2141,584.3582369422522
2142,584.1684856619663
2143,584.5550269972784
2144,585.3767688979683
