,nonCO2_erf
1850,-0.4555265296803669
1851,-0.03635187829723398
1852,0.17436292050550192
1853,0.3689067790526265
1854,-0.15943996099234148
1855,-0.4333694147407204
1856,-0.44096736839215706
1857,0.30266925384882437
1858,-0.3718944242316766
1859,-0.2837997059140415
1860,-0.5055585306050492
1861,-0.67835771361771
1862,-0.6878400237318838
1863,-0.4901007531353002
1864,0.2993517367833135
1865,0.18802720200161532
1866,0.4700311671590313
1867,-0.46385431044310166
1868,0.015343521566164378
1869,-0.018034985019181313
1870,0.29614548980626976
1871,0.37331528114504187
1872,-0.06149533942345514
1873,0.018269044561299394
1874,0.15835439820166375
1875,0.24328049137036273
1876,-0.06834111296274306
1877,-0.07221923999883505
1878,0.25144083700852793
1879,0.3106838527338016
1880,0.17259220314652862
1881,-0.37812578404160013
1882,-0.10622381556972808
1883,-0.6525680287920451
1884,-2.1294260704464785
1885,-0.3795418880871025
1886,-0.4456550402530465
1887,-0.3873145213690839
1888,-0.8240045317200637
1889,-0.9129627070397025
1890,0.527227445940125
1891,0.09398244622471325
1892,0.03224096233549098
1893,0.2646041174127839
1894,0.4041396519857072
1895,-0.12603319533948087
1896,-0.056478183415333144
1897,0.05421187323277407
1898,-1.0057716144771045
1899,-0.46689601658267466
1900,0.32799408145605724
1901,-0.044582757006417145
1902,-0.6302274573955712
1903,-0.8678829008043973
1904,-0.7256335679079184
1905,-0.30278006736358865
1906,0.05915008396027732
1907,-0.06556055517792245
1908,-0.0062883976408358855
1909,0.4890039495615899
1910,-0.21984464277976692
1911,-0.4266195018173873
1912,-0.7234650405565886
1913,-0.43269297304373217
1914,0.27596322528113126
1915,0.37673698388431
1916,0.5823188284640073
1917,-0.47379129724782343
1918,-0.34951836852123697
1919,0.19059988436188224
1920,-0.3638409605492917
1921,-0.19853029897269447
1922,-0.34699728572107846
1923,-0.12013521240605929
1924,0.3171054465170634
1925,0.20963981193534154
1926,-0.9872078015951863
1927,-0.761383639159411
1928,0.8195052327943587
1929,0.38058516379382523
1930,0.536493285027082
1931,-0.08135677366803895
1932,-1.0854791911957846
1933,0.04748366665337389
1934,0.06482681178248562
1935,0.1414034692007911
1936,0.1695955587596366
1937,0.190969952460585
