,co2
2015,403.3465646282007
2016,405.850815698297
2017,408.70167858608943
2018,411.93281909742745
2019,414.5423910198446
2020,417.0696601227089
2021,420.0348647224462
2022,423.08221118636897
2023,425.81627557571426
2024,428.57668796248146
2025,431.36324635051443
2026,434.31740239264377
2027,437.17573347740785
2028,440.3014859616175
2029,442.7727763726505
2030,445.5859243798501
2031,448.49784256347135
2032,451.22470141689035
2033,453.8358910067947
2034,456.922969388124
2035,459.60202817688173
2036,462.615967910828
2037,464.83323301311674
2038,467.1734442409062
2039,470.05934822551745
2040,472.8397347394105
2041,475.49793131612125
2042,478.05700221827135
2043,480.02004690296457
2044,482.47492439514014
2045,484.72422961632714
2046,487.48668253222127
2047,490.1929788185215
2048,492.3893933133999
2049,495.0235178166824
2050,497.906243262997
2051,500.27150984489543
2052,502.58287458754614
2053,505.13156000027305
2054,507.61441259202155
2055,509.92366170561996
2056,511.8770341614876
2057,514.2928706367004
2058,516.8762143819283
2059,518.882200751063
2060,520.7061611288136
2061,523.1780212992046
2062,525.787184511978
2063,527.8934047513053
2064,529.9098637861581
2065,532.6916740851934
2066,534.7027160190252
2067,536.6578880427015
2068,538.6274558540752
2069,540.735746058681
2070,542.7110091993167
2071,545.162765798992
2072,546.6942047028808
2073,548.220896744278
2074,549.830529577207
2075,551.4136374184178
2076,553.0742019640252
2077,554.7776576242745
2078,556.2772794447218
2079,557.5060336660092
2080,558.7257793870824
2081,559.6379871400528
2082,560.5846171702317
2083,562.0725793498843
2084,563.3257326500539
2085,563.7267791768197
2086,564.3906589315875
2087,565.4957510307244
2088,566.0833637922245
2089,565.9371849953503
2090,566.1344423082744
2091,566.6811910870362
2092,567.2152426006586
2093,567.352555266398
2094,567.4349896995137
2095,567.6418870690593
2096,567.828521044681
2097,567.3354609761074
2098,566.784228845019
2099,566.5464514428592
2100,566.5978154518413
